"동별","연령별","항목","단위","2024. 4/4","2025. 1/4",
"사직동","합계","계","","9208","9177",
"사직동","합계","한국인","","8962","8937",
"사직동","합계","등록외국인","","246","240",
"사직동","0~4세","계","","163","155",
"사직동","0~4세","한국인","","157","150",
"사직동","0~4세","등록외국인","","6","5",
"사직동","5~9세","계","","265","253",
"사직동","5~9세","한국인","","257","245",
"사직동","5~9세","등록외국인","","8","8",
"사직동","10~14세","계","","324","322",
"사직동","10~14세","한국인","","318","316",
"사직동","10~14세","등록외국인","","6","6",
"사직동","15~19세","계","","312","312",
"사직동","15~19세","한국인","","310","309",
"사직동","15~19세","등록외국인","","2","3",
"사직동","20~24세","계","","403","408",
"사직동","20~24세","한국인","","396","400",
"사직동","20~24세","등록외국인","","7","8",
"사직동","25~29세","계","","644","652",
"사직동","25~29세","한국인","","628","636",
"사직동","25~29세","등록외국인","","16","16",
"사직동","30~34세","계","","835","831",
"사직동","30~34세","한국인","","819","815",
"사직동","30~34세","등록외국인","","16","16",
"사직동","35~39세","계","","659","645",
"사직동","35~39세","한국인","","619","614",
"사직동","35~39세","등록외국인","","40","31",
"사직동","40~44세","계","","776","767",
"사직동","40~44세","한국인","","740","723",
"사직동","40~44세","등록외국인","","36","44",
"사직동","45~49세","계","","695","691",
"사직동","45~49세","한국인","","660","656",
"사직동","45~49세","등록외국인","","35","35",
"사직동","50~54세","계","","785","773",
"사직동","50~54세","한국인","","762","751",
"사직동","50~54세","등록외국인","","23","22",
"사직동","55~59세","계","","707","722",
"사직동","55~59세","한국인","","690","708",
"사직동","55~59세","등록외국인","","17","14",
"사직동","60~64세","계","","699","681",
"사직동","60~64세","한국인","","679","667",
"사직동","60~64세","등록외국인","","20","14",
"사직동","65~69세","계","","601","614",
"사직동","65~69세","한국인","","592","602",
"사직동","65~69세","등록외국인","","9","12",
"사직동","70~74세","계","","377","388",
"사직동","70~74세","한국인","","376","386",
"사직동","70~74세","등록외국인","","1","2",
"사직동","75~79세","계","","336","337",
"사직동","75~79세","한국인","","334","335",
"사직동","75~79세","등록외국인","","2","2",
"사직동","80~84세","계","","309","304",
"사직동","80~84세","한국인","","309","304",
"사직동","80~84세","등록외국인","","-","-",
"사직동","85~89세","계","","209","208",
"사직동","85~89세","한국인","","208","207",
"사직동","85~89세","등록외국인","","1","1",
"사직동","90~94세","계","","79","82",
"사직동","90~94세","한국인","","78","81",
"사직동","90~94세","등록외국인","","1","1",
"사직동","95~99세","계","","23","25",
"사직동","95~99세","한국인","","23","25",
"사직동","95~99세","등록외국인","","-","-",
"사직동","100세 이상","계","","7","7",
"사직동","100세 이상","한국인","","7","7",
"사직동","100세 이상","등록외국인","","-","-",
"삼청동","합계","계","","2460","2441",
"삼청동","합계","한국인","","2219","2189",
"삼청동","합계","등록외국인","","241","252",
"삼청동","0~4세","계","","37","37",
"삼청동","0~4세","한국인","","32","32",
"삼청동","0~4세","등록외국인","","5","5",
"삼청동","5~9세","계","","69","66",
"삼청동","5~9세","한국인","","49","48",
"삼청동","5~9세","등록외국인","","20","18",
"삼청동","10~14세","계","","95","97",
"삼청동","10~14세","한국인","","70","70",
"삼청동","10~14세","등록외국인","","25","27",
"삼청동","15~19세","계","","103","106",
"삼청동","15~19세","한국인","","85","84",
"삼청동","15~19세","등록외국인","","18","22",
"삼청동","20~24세","계","","86","83",
"삼청동","20~24세","한국인","","83","80",
"삼청동","20~24세","등록외국인","","3","3",
"삼청동","25~29세","계","","164","159",
"삼청동","25~29세","한국인","","156","150",
"삼청동","25~29세","등록외국인","","8","9",
"삼청동","30~34세","계","","159","152",
"삼청동","30~34세","한국인","","146","141",
"삼청동","30~34세","등록외국인","","13","11",
"삼청동","35~39세","계","","157","162",
"삼청동","35~39세","한국인","","140","137",
"삼청동","35~39세","등록외국인","","17","25",
"삼청동","40~44세","계","","206","200",
"삼청동","40~44세","한국인","","165","165",
"삼청동","40~44세","등록외국인","","41","35",
"삼청동","45~49세","계","","185","172",
"삼청동","45~49세","한국인","","142","135",
"삼청동","45~49세","등록외국인","","43","37",
"삼청동","50~54세","계","","184","188",
"삼청동","50~54세","한국인","","171","166",
"삼청동","50~54세","등록외국인","","13","22",
"삼청동","55~59세","계","","176","180",
"삼청동","55~59세","한국인","","165","170",
"삼청동","55~59세","등록외국인","","11","10",
"삼청동","60~64세","계","","188","191",
"삼청동","60~64세","한국인","","184","184",
"삼청동","60~64세","등록외국인","","4","7",
"삼청동","65~69세","계","","207","195",
"삼청동","65~69세","한국인","","196","185",
"삼청동","65~69세","등록외국인","","11","10",
"삼청동","70~74세","계","","137","136",
"삼청동","70~74세","한국인","","131","132",
"삼청동","70~74세","등록외국인","","6","4",
"삼청동","75~79세","계","","123","133",
"삼청동","75~79세","한국인","","122","128",
"삼청동","75~79세","등록외국인","","1","5",
"삼청동","80~84세","계","","99","97",
"삼청동","80~84세","한국인","","98","96",
"삼청동","80~84세","등록외국인","","1","1",
"삼청동","85~89세","계","","54","55",
"삼청동","85~89세","한국인","","53","54",
"삼청동","85~89세","등록외국인","","1","1",
"삼청동","90~94세","계","","26","27",
"삼청동","90~94세","한국인","","26","27",
"삼청동","90~94세","등록외국인","","-","-",
"삼청동","95~99세","계","","5","5",
"삼청동","95~99세","한국인","","5","5",
"삼청동","95~99세","등록외국인","","-","-",
"삼청동","100세 이상","계","","-","-",
"삼청동","100세 이상","한국인","","-","-",
"삼청동","100세 이상","등록외국인","","-","-",
"부암동","합계","계","","9318","9282",
"부암동","합계","한국인","","9051","9016",
"부암동","합계","등록외국인","","267","266",
"부암동","0~4세","계","","125","120",
"부암동","0~4세","한국인","","125","120",
"부암동","0~4세","등록외국인","","-","-",
"부암동","5~9세","계","","245","234",
"부암동","5~9세","한국인","","245","234",
"부암동","5~9세","등록외국인","","-","-",
"부암동","10~14세","계","","368","371",
"부암동","10~14세","한국인","","368","371",
"부암동","10~14세","등록외국인","","-","-",
"부암동","15~19세","계","","408","411",
"부암동","15~19세","한국인","","401","408",
"부암동","15~19세","등록외국인","","7","3",
"부암동","20~24세","계","","555","519",
"부암동","20~24세","한국인","","478","454",
"부암동","20~24세","등록외국인","","77","65",
"부암동","25~29세","계","","631","640",
"부암동","25~29세","한국인","","566","571",
"부암동","25~29세","등록외국인","","65","69",
"부암동","30~34세","계","","701","709",
"부암동","30~34세","한국인","","665","667",
"부암동","30~34세","등록외국인","","36","42",
"부암동","35~39세","계","","565","556",
"부암동","35~39세","한국인","","538","526",
"부암동","35~39세","등록외국인","","27","30",
"부암동","40~44세","계","","678","678",
"부암동","40~44세","한국인","","659","659",
"부암동","40~44세","등록외국인","","19","19",
"부암동","45~49세","계","","686","681",
"부암동","45~49세","한국인","","675","670",
"부암동","45~49세","등록외국인","","11","11",
"부암동","50~54세","계","","840","837",
"부암동","50~54세","한국인","","833","831",
"부암동","50~54세","등록외국인","","7","6",
"부암동","55~59세","계","","795","787",
"부암동","55~59세","한국인","","787","778",
"부암동","55~59세","등록외국인","","8","9",
"부암동","60~64세","계","","728","724",
"부암동","60~64세","한국인","","725","721",
"부암동","60~64세","등록외국인","","3","3",
"부암동","65~69세","계","","668","667",
"부암동","65~69세","한국인","","664","662",
"부암동","65~69세","등록외국인","","4","5",
"부암동","70~74세","계","","414","431",
"부암동","70~74세","한국인","","412","428",
"부암동","70~74세","등록외국인","","2","3",
"부암동","75~79세","계","","373","380",
"부암동","75~79세","한국인","","372","379",
"부암동","75~79세","등록외국인","","1","1",
"부암동","80~84세","계","","272","265",
"부암동","80~84세","한국인","","272","265",
"부암동","80~84세","등록외국인","","-","-",
"부암동","85~89세","계","","174","180",
"부암동","85~89세","한국인","","174","180",
"부암동","85~89세","등록외국인","","-","-",
"부암동","90~94세","계","","63","63",
"부암동","90~94세","한국인","","63","63",
